clean_text,Emotion_predicted,Emotion_actual
go submit wardrobe makeover show fear fashion,joy,fear
social medium another father take child nightmare everyday keithlamontscott,joy,fear
shaun,joy,fear
time stress always year age make redundant start,joy,fear
steal tell,joy,fear
n o   t e x t,anger,fear
round nightmare,joy,fear
feel like everyone thing anywhere feel lonely,sadness,fear
afraid someone live,sadness,fear
madness beyond shock cold blood murder long southafrica stand watch worldrhinoday,sadness,fear
steal kidney blackmarket whydidiwatchthat,fear,fear
get book sign barely take picture shake,joy,fear
wood collect never even reverse park life nightmare,joy,fear
really go selection election syria race riot gascrisis nodapl rape,fear,fear
great flip standstill freeway anxiety stepofftheledge youvegottobekiddingme,sadness,fear
first ever festival internet panic,fear,fear
still panic,sadness,fear
terrorism need address violentextremism,joy,fear
feel look self family hubby fight year country work year govt,sadness,fear
back get back australia problem remember safe panic,sadness,fear
one suppose know make nervous,fear,fear
realistic probability clown might next president clown uspol nightmare,fear,fear
fuck horrific,sadness,fear
nervous need give,joy,fear
people country million go ruin whole country people fear,sadness,fear
nimagine palestinian muslim nzionists steal innocence childhood jewish child,fear,fear
binge watch horror film alone,sadness,fear
sleep today go restless,fear,fear
horror story gon na watch daytime,sadness,fear
reply unga pakistan preach human right country global epicentre terrorism,fear,fear
stop anxiety cop method hold force hand kinda stuff,sadness,fear
headache pas feel awful today,joy,fear
n o   t e x t,anger,fear
nervous excite,fear,fear
spray position slowly suffocate trash smell like febreeze factory panic,sadness,fear
scrub federal complaint suspect bomb appear omit terror name bloody journ news,fear,fear
make realize always nationalcares nightmare disgust,joy,fear
writer write anxiety writersblock,sadness,fear
n o   t e x t,anger,fear
start seriously dreadful,sadness,fear
anxiety attack halfway family meal,sadness,fear
victim terrorism nawaz sharif nreally biggest creator terrorism unga,joy,fear
jump conclusion matter racial unrest silent greggutfeld,sadness,fear
tell worry fact probably never give fuck,sadness,fear
burn head terrorism assad regime russia bombard city right whitephosphrus bomb,joy,fear
calm could swear something black hairy across carpet perilsoflivingalone nervous,fear,fear
moment panic later obviously well every opportunity choose make seem,joy,fear
grandad hometown last night terrible news hope everyone okay,sadness,fear
form endless tragedy know react first frighten repeat another,sadness,fear
panic,sadness,fear
loughborough next month nervous,fear,fear
spaitogaming every horror movie frighten child halloween movie nightmare,fear,fear
wall nightmare,joy,fear
n o   t e x t,anger,fear
meaindia terror attack,fear,fear
deffo fear miss,joy,fear
